Kp, Ki, Kd, episode, score 
1.0, 0.5, 0.011, 0, -926.0397417487727 
1.0, 0.5, 0.011, 1, -173.94337382248264 
1.1, 0.5, 0.011, 2, -228.3566933122906 
1.1, 0.5, 0.012, 3, -127.64008086921592 
1.1, 0.5, 0.013000000000000001, 4, -211.77502273136832 
1.1, 0.5, 0.013000000000000001, 5, -133.07503061043607 
1.1, 0.5, 0.013000000000000001, 6, -46.41367838125674 
1.1, 0.6, 0.013000000000000001, 7, -148.66603758900732 
1.2000000000000002, 0.6, 0.013000000000000001, 8, -148.44899453790762 
1.3000000000000003, 0.6, 0.013000000000000001, 9, -143.926218301983 
1.3000000000000003, 0.6, 0.013000000000000001, 10, -40.9839438356804 
1.3000000000000003, 0.6, 0.013000000000000001, 11, -132.76670285731836 
1.3000000000000003, 0.6, 0.013000000000000001, 12, -144.44528147351463 
1.4000000000000004, 0.6, 0.013000000000000001, 13, -142.5768593901622 
1.5000000000000004, 0.6, 0.013000000000000001, 14, -117.7468381955061 
1.5000000000000004, 0.6, 0.013000000000000001, 15, -127.53013790915581 
1.5000000000000004, 0.6, 0.014000000000000002, 16, -120.8276136311876 
1.6000000000000005, 0.6, 0.014000000000000002, 17, -119.53303296397254 
1.6000000000000005, 0.6, 0.015000000000000003, 18, -130.6258440899916 
1.6000000000000005, 0.7, 0.015000000000000003, 19, -127.43240884481051 
1.6000000000000005, 0.7, 0.015000000000000003, 20, -132.15318710564296 
1.6000000000000005, 0.7, 0.016000000000000004, 21, -111.05614094168455 
1.6000000000000005, 0.7, 0.016000000000000004, 22, -122.60154404617221 
1.6000000000000005, 0.7, 0.017000000000000005, 23, -108.5768639947102 
1.6000000000000005, 0.7, 0.017000000000000005, 24, -133.15538299973338 
1.6000000000000005, 0.7, 0.017000000000000005, 25, -124.51801210950818 
1.6000000000000005, 0.7, 0.017000000000000005, 26, -114.90606418725481 
1.7000000000000006, 0.7, 0.017000000000000005, 27, -112.20405675605211 
1.8000000000000007, 0.7, 0.017000000000000005, 28, -144.86855409534664 
1.8000000000000007, 0.7, 0.018000000000000006, 29, -110.89265624692275 
1.9000000000000008, 0.7, 0.018000000000000006, 30, -123.12430960734481 
1.9000000000000008, 0.7999999999999999, 0.018000000000000006, 31, -29.495961206007284 
1.9000000000000008, 0.8999999999999999, 0.018000000000000006, 32, -94.07281110687636 
1.9000000000000008, 0.8999999999999999, 0.018000000000000006, 33, -132.8046290568652 
1.9000000000000008, 0.9999999999999999, 0.018000000000000006, 34, -126.43280874705857 
1.9000000000000008, 0.9999999999999999, 0.018000000000000006, 35, -121.62456285868431 
2.000000000000001, 0.9999999999999999, 0.018000000000000006, 36, -115.25968955003967 
2.100000000000001, 0.9999999999999999, 0.018000000000000006, 37, -113.99141873309469 
2.100000000000001, 1.0999999999999999, 0.018000000000000006, 38, -103.94093496474603 
2.100000000000001, 1.0999999999999999, 0.018000000000000006, 39, -129.1297573326334 
2.100000000000001, 1.2, 0.018000000000000006, 40, -137.26991089788592 
2.100000000000001, 1.2, 0.018000000000000006, 41, -119.93989940820208 
2.100000000000001, 1.2, 0.018000000000000006, 42, -122.70424252592827 
2.200000000000001, 1.2, 0.018000000000000006, 43, -123.4772169262757 
2.300000000000001, 1.2, 0.018000000000000006, 44, -84.49582912395303 
2.300000000000001, 1.2, 0.019000000000000006, 45, -74.91014107586876 
2.300000000000001, 1.2, 0.019000000000000006, 46, -102.6694556394233 
2.4000000000000012, 1.2, 0.019000000000000006, 47, -87.82717750965264 
2.4000000000000012, 1.2, 0.020000000000000007, 48, -104.43644037923161 
2.4000000000000012, 1.3, 0.020000000000000007, 49, -92.95578990542418 
2.4000000000000012, 1.3, 0.020000000000000007, 50, -92.89258153853845 
2.4000000000000012, 1.3, 0.021000000000000008, 51, -147.5827758082852 
2.4000000000000012, 1.3, 0.02200000000000001, 52, -88.31881506650684 
2.4000000000000012, 1.3, 0.02300000000000001, 53, -106.41602278106777 
2.4000000000000012, 1.3, 0.02400000000000001, 54, -96.88646580818663 
2.4000000000000012, 1.3, 0.025000000000000012, 55, -104.6121973790057 
2.4000000000000012, 1.3, 0.026000000000000013, 56, -133.10491926276737 
2.5000000000000013, 1.3, 0.026000000000000013, 57, -113.14507499753161 
2.5000000000000013, 1.3, 0.027000000000000014, 58, -113.4843285328747 
2.5000000000000013, 1.3, 0.027000000000000014, 59, -104.44267224322468 
2.5000000000000013, 1.3, 0.027000000000000014, 60, -98.73251822394518 
2.6000000000000014, 1.3, 0.027000000000000014, 61, -97.61067319311532 
2.6000000000000014, 1.3, 0.027000000000000014, 62, -96.6940479889603 
2.6000000000000014, 1.3, 0.027000000000000014, 63, -100.10834845990077 
2.6000000000000014, 1.3, 0.027000000000000014, 64, -99.14500762394471 
2.7000000000000015, 1.3, 0.027000000000000014, 65, -112.62691292139797 
2.7000000000000015, 1.3, 0.027000000000000014, 66, -91.74730679022201 
2.7000000000000015, 1.3, 0.028000000000000014, 67, -97.94954869881019 
2.7000000000000015, 1.3, 0.029000000000000015, 68, -87.18685626470972 
2.7000000000000015, 1.3, 0.030000000000000016, 69, -91.18900259623838 
2.8000000000000016, 1.3, 0.030000000000000016, 70, -96.2197453813636 
2.8000000000000016, 1.4000000000000001, 0.030000000000000016, 71, -107.7826683336295 
2.8000000000000016, 1.4000000000000001, 0.030000000000000016, 72, -96.06162883641795 
2.8000000000000016, 1.4000000000000001, 0.031000000000000017, 73, -91.77153231073228 
2.8000000000000016, 1.4000000000000001, 0.032000000000000015, 74, -95.61295006125006 
